1. Round,,,,
20/08/2010,,,,
17:30,Bayern München,-0,FC Schalke 04,4:1 (3:1)
33. Round,,,,
07/05/2011,,,,
14:30,FC St. Pauli,-0,Bayern München,1:8 (0:2)
14:30,Werder Bremen,-0,Borussia Dortmund,2:0 (1:0)
14:30,Bayer Leverkusen,-0,Hamburger SV,1:1 (0:1)
14:30,FC Schalke 04,-0,1. FSV Mainz 05,1:3 (0:0)
14:30,1. FC Nürnberg,-0,1899 Hoffenheim,1:2 (1:1)
14:30,Eintracht Frankfurt,-0,1. FC Köln,0:2 (0:1)
14:30,Bor. Mönchengladbach,-0,SC Freiburg,2:0 (0:0)
14:30,VfB Stuttgart,-0,Hannover 96,2:1 (0:0)
14:30,VfL Wolfsburg,-0,1. FC Kaiserslautern,1:2 (1:2)
34. Round,,,,
14/05/2011,,,,
14:30,1. FC Köln,-0,FC Schalke 04,2:1 (1:0)
14:30,1. FC Kaiserslautern,-0,Werder Bremen,3:2 (3:1)
14:30,SC Freiburg,-0,Bayer Leverkusen,0:1 (0:1)
14:30,Bayern München,-0,VfB Stuttgart,2:1 (1:1)
14:30,1899 Hoffenheim,-0,VfL Wolfsburg,1:3 (0:0)
14:30,Borussia Dortmund,-0,Eintracht Frankfurt,3:1 (0:0)
14:30,Hamburger SV,-0,Bor. Mönchengladbach,1:1 (0:1)
14:30,Hannover 96,-0,1. FC Nürnberg,3:1 (1:1)
14:30,1. FSV Mainz 05,-0,FC St. Pauli,2:1 (0:1)
